category,item_name,item_description
"Electronics|WearableTechnology|SmartWatches","Fitness Smartwatch Pro","Advanced fitness tracking smartwatch with heart rate monitoring, sleep analysis, and 7-day battery life."
"Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones","Galaxy X23 Ultra","Premium smartphone featuring 108MP camera, 6.8-inch AMOLED display, and 5G connectivity."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders","PowerBlend Pro 750","3-in-1 mixer grinder with stainless steel blades and 750W motor for efficient grinding and blending."
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","CineView 55 QLED","55-inch QLED smart TV with 4K resolution, HDR support, and built-in streaming apps."
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear","SoundPods Elite","Wireless earbuds with active noise cancellation and 24-hour battery life with charging case."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles","QuickBoil 2000","2L electric kettle with temperature control and auto shut-off safety feature."
"Computers&Accessories|NetworkingDevices|Routers","NetSpeed Pro X1","Dual-band WiFi 6 router with parental controls and mesh networking support."
"Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks","PowerCore 20000","20000mAh power bank with fast charging and dual USB ports."
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans","AirFlow Maestro","Smart ceiling fan with LED light, remote control, and energy-efficient motor."
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice","ErgoMouse Pro","Ergonomic wireless mouse with adjustable DPI and silent clicking."
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables","UltraHD Link 2.1","8K-compatible HDMI 2.1 cable with 48Gbps bandwidth and gold-plated connectors."
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons","SmoothPress Elite","1200W dry iron with non-stick soleplate and temperature control dial."
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls","UniControl Master","Universal remote compatible with over 500000 devices and backlit buttons."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders","BlendMaster Stick","600W hand blender with multiple attachments and variable speed control."
"Computers&Accessories|ExternalDevices&DataStorage|PenDrives","DataVault 256","256GB USB 3.1 flash drive with hardware encryption and metal casing."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders","NutriExtract Pro","800W juicer mixer grinder with 4 jars and pulse function."
"Electronics|Mobiles&Accessories|MobileAccessories|StylusPens","DigiPen Plus","Precision stylus pen with palm rejection and tilt sensitivity for tablets."
"Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets","FoldAway XL","Collapsible laundry basket with handles and ventilation holes."
"Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases","SafeGuard 15","Water-resistant 15.6-inch laptop sleeve with impact protection and accessory pocket."
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters","WarmTech Storage 25L","25L storage water heater with temperature control and safety valve."
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors","ShieldGuard Ultra","Tempered glass screen protector with oleophobic coating and easy installation kit."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers","ChopMaster Mini","300W mini food processor with dual blades and 500ml bowl."
"Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters","WiFi Ultra AC1200","Dual-band wireless USB adapter with external antenna for extended range."
"Electronics|Accessories|MemoryCards|MicroSD","SpeedStore 512","512GB microSD card with A2 rating and 160MB/s transfer speed."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop","CookSmart Induction","2000W portable induction cooktop with 8 power levels and timer."
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets","ArtPad Pro","Graphics tablet with 8192 pressure levels and wireless capability."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers","GrillMaster 4","4-slice sandwich maker with non-stick plates and ready indicator light."
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters","WarmZone 2000","2000W electric room heater with adjustable thermostat and safety tip-over switch."
"Electronics|Mobiles&Accessories|MobileAccessories|Stands","FlexMount Pro","Adjustable aluminum phone stand with non-slip base and cable management."
"Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers","AquaPure RO","7-stage RO water purifier with UV sterilization and TDS controller."
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets","WorkPro Combo","Wireless keyboard and mouse combo with ergonomic design and multimedia keys."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers","EggMaster 6","6-egg capacity electric egg boiler with auto shut-off and measuring cup."
"Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries","PowerCell AA","Long-lasting alkaline AA batteries pack of 8 with 10-year shelf life."
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums","DustBuster Pro","Cordless handheld vacuum with cyclonic action and washable filter."
"Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles","SimplePhone 2G","Basic feature phone with long battery life and FM radio."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers","FreshKeeper Plus","Food vacuum sealer with pulse function and built-in bag cutter."
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads","GlidePro XL","Extended gaming mouse pad with stitched edges and water-resistant surface."
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods","HeatQuick 1500","1500W immersion rod with copper heating element and safety cut-out."
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear","BassBoost Pro","On-ear wireless headphones with 40mm drivers and foldable design."
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons","SteamPro 2400","2400W steam iron with ceramic soleplate and vertical steam function."
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks","StudyMate A4","A4 size composition notebook with 200 pages and hardcover."
"Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables","QuickCharge C","USB-C to USB-C cable with 100W power delivery and 4K video support."
"Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories","FilterPro Set","Replacement filter set for RO water purifiers with sediment and carbon filters."
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters","HeatFlow 2000","Portable fan heater with oscillation and two heat settings."
"Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers","TurboCharge 65","65W GaN wall charger with foldable plug and multiple ports."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets","BreakfastDuo Set","Matching kettle and 2-slice toaster set with variable browning control."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales","PreciseWeigh Pro","Digital kitchen scale with tare function and multiple unit conversion."
"Computers&Accessories|NetworkingDevices|Routers","MeshPro System","Tri-band mesh WiFi system with coverage up to 5000 sq ft."
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters","InstantHot 3000","3000W instant water heater with temperature display and shower head."
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors","NanoShield Max","Nano liquid screen protector with UV curing and scratch resistance."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers","VeggiePro Chopper","Electric vegetable chopper with 4 blade options and 1L container."
"Electronics|WearableTechnology|SmartWatches","HealthTrack Elite","Premium smartwatch with ECG monitoring and 14-day battery life."
"Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones","TechPro Max","5G smartphone with 108MP camera system and 6.7-inch dynamic AMOLED display."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders","UltraGrind Plus","1000W mixer grinder with 4 stainless steel jars and overload protection."
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","SmartView 65 Neo","65-inch 8K smart TV with quantum processor and gaming mode."
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear","BassLife TWS","True wireless earbuds with hybrid ANC and transparency mode."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles","TempControl Pro","Variable temperature kettle with keep-warm function and 1.7L capacity."
"Computers&Accessories|NetworkingDevices|Routers","SpeedMesh Trio","Tri-band mesh WiFi 6E system with AI-powered optimization."
"Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks","UltraCharge 30000","30000mAh power bank with 65W charging and LED display."
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans","SmartBreeze DC","Smart ceiling fan with DC motor and mobile app control."
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice","GamingPro X","Gaming mouse with 16000 DPI optical sensor and RGB lighting."
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables","CableMax 8K","8K HDMI 2.1 cable with ethernet and enhanced audio return."
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons","IronMaster 2000","2000W dry iron with spray function and self-cleaning system."
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls","SmartControl X","Voice-controlled universal remote with backlit keys and learning function."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders","BlendPro Immersion","700W hand blender with whisk and chopper attachments."
"Computers&Accessories|ExternalDevices&DataStorage|PenDrives","SecureVault Pro","512GB encrypted USB drive with fingerprint authentication."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders","JuiceMaster Ultimate","1000W juicer with wide feed tube and anti-drip spout."
"Electronics|Mobiles&Accessories|MobileAccessories|StylusPens","ArtPen Pro","Active stylus with 4096 pressure levels and tilt recognition."
"Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets","SortMaster 3","3-compartment collapsible laundry basket with removable bags."
"Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases","TravelGuard Pro","17-inch waterproof laptop sleeve with RFID pocket."
